SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1334.00,1342.80,1298.10,1316.00,1311.05,1333.05,1150,12589,16611190.00,
500003,AEGIS LOGIS ,A ,Q,188.25,190.20,188.00,189.60,190.00,188.90,104,2983,565081.00,
500008,AMAR RAJA BA,A ,Q,754.90,755.00,740.65,743.00,743.00,749.30,483,14643,10951921.00,
500009,A.SARABHAI  ,X ,Q,13.41,13.49,12.70,13.18,13.18,13.13,55,28443,366882.00,
500010,HDFC        ,A ,Q,1977.00,1982.30,1944.40,1976.25,1982.30,1978.20,2433,55553,108873224.00,
500012,ANDHRA PETRO,X ,Q,56.70,58.40,56.70,57.45,57.45,57.75,143,14623,840303.00,
500013,ANSAL INFRAS,B ,Q,11.90,12.20,11.50,11.86,11.86,11.45,86,11334,135223.00,
500014,APPLE FINANC,XT,Q,1.77,1.80,1.77,1.80,1.80,1.86,2,113,200.00,
500016,ARUNAHTEL   ,XT,Q,10.60,10.60,10.60,10.60,10.60,10.60,2,112,1187.00,
500020,BOM DYEING  ,B ,Q,112.60,115.80,111.55,113.20,113.20,116.20,2791,245871,27948016.00,
500024,ASSAMCO     ,T ,Q,2.25,2.44,2.22,2.22,2.22,2.33,115,210255,477302.00,
500027,ATUL LTD.   ,A ,Q,3500.00,3500.00,3460.00,3469.60,3470.00,3470.10,86,268,931196.00,
500028,ATV PROJECTS,XT,Q,7.50,7.73,7.50,7.73,7.73,7.37,20,2979,22847.00,
500029,AUTOLITE(I) ,B ,Q,42.60,42.70,39.30,39.85,39.85,42.00,124,9626,391696.00,
500031,BAJAJ ELECT.,A ,Q,508.00,522.50,508.00,515.85,515.85,511.00,794,26218,13537306.00,
500032,BAJAJHIND   ,B ,Q,8.90,9.13,8.90,9.02,9.02,9.03,3461,180267,1630356.00,
